medio,fecha,titulo,autor,url,resumen,tags
El Comercio,2026-07-16T20:56:14.309Z,PNP retira a policías encargados de seguridad de presidente José María Balcázar tras ser captados en discoteca de Chiclayo,Redacción EC,https://elcomercio.pe/politica/gobierno/pnp-retira-a-policias-encargados-de-seguridad-de-presidente-jose-maria-balcazar-tras-ser-captados-en-discoteca-de-chiclayo-ultimas-noticia/,"El comandante general de la Policía, Óscar Arriola, informó que se inició una investigación administrativa disciplinaria para determinar responsabilidades.","jose maria balcazar, oscar arriola, escolta presidencial, PNP"
El Comercio,2026-07-15T18:16:15Z,Keiko Fujimori recibió sus credenciales como presidenta electa del Perú,Redacción EC,https://elcomercio.pe/politica/gobierno/keiko-fujimori-recibe-credenciales-como-presidenta-electa-del-peru-en-el-gran-teatro-nacional-jne-lbposting-noticia/,"En la ceremonia, que se realizó en el Gran Teatro Nacional, en el distrito de San Borja, el JNE también entregó las credenciales a Luis Galarreta y Miguel Torres como vicepresidentes electos. ","Keiko Fujimori, JNE, Elecciones 2026"
El Comercio,2026-07-03T18:24:37Z,JNE proclama a Keiko Fujimori como presidenta electa del Perú para el periodo 2026-2031 ,Redacción EC,https://elcomercio.pe/politica/elecciones/jurado-nacional-de-elecciones-proclama-hoy-a-keiko-fujimori-como-presidenta-electa-tras-segunda-vuelta-lbposting-noticia/,"El acto oficial, que fue presidido por el titular del JNE, Roberto Burneo, se realizó en la sede del ente electoral, en Jesús María.","Keiko Fujimori, Jurado Nacional de Elecciones, Elecciones 2026, Roberto Burneo"
El Comercio,2026-07-02T21:16:48.648Z,Keiko Fujimori: ¿Cuándo se proclamarán los resultados oficiales de la segunda vuelta según el JNE?,Redacción EC,https://elcomercio.pe/politica/elecciones/keiko-fujimori-cuando-sera-la-proclamacion-oficial-del-jne-sobre-la-segunda-vuelta-ultimas-noticia/,"El vocero del JNE, Jorge Valdivia, indicó que aún se mantiene como fecha prevista este viernes 03 de julio. ","keiko fujimori, jne, segunda vuelta, elecciones 2026, proclamación de resultados"
El Comercio,2026-06-30T16:20:59Z,"Cuál es la cantidad de votos que separa a Keiko Fujimori y Roberto Sánchez, según resultados oficiales de la ONPE",Redacción EC,https://elcomercio.pe/politica/elecciones/cual-es-la-cantidad-de-votos-que-separa-a-keiko-fujimori-y-roberto-sanchez-segun-ultimos-resultados-onpe-de-la-segunda-vuelta-elecciones-peru-2026-noticia/,Sigue aquí los resultados oficiales ONPE con la diferencia de votos entre Keiko Fujimori (Fuerza Popular) y Roberto Sánchez (Juntos por el Perú),"Elecciones 2026, segunda vuelta, ONPE, Resultados ONPE, Keiko Fujimori, Roberto Sánchez"
El Comercio,2026-06-29T21:11:13.932Z,ONPE al 100%: Keiko Fujimori es virtual presidenta del Perú tras alcanzar el 50.135% de votos en segunda vuelta ,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-onpe-en-vivo-keiko-fujimori-mantiene-ventaja-sobre-roberto-sanchez-y-se-acerca-a-la-presidencia-del-peru-lbposting-noticia/,El conteo oficial de la ONPE llegó a su fin y ahora se espera la proclamación oficial por parte del Jurado Nacional de Elecciones. ,"Resultados ONPE, Segunda vuelta 2026, Keiko Fujimori, Roberto Sánchez, ONPE, sorteo especial"
El Comercio,2026-06-29T20:12:53Z,Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Piura y conteo oficial de votos en vivo,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-segunda-vuelta-elecciones-peru-2026-conteo-oficial-onpe-en-piura-y-flash-electoral-en-vivo-hoy-7-de-junio-keiko-fujimori-roberto-sanchez-noticia/,Conoce en esta nota los resultados ONPE al 100% de los comicios generales del 7 de junio,"Elecciones 2026, segunda vuelta, ONPE, Piura, Keiko Fujimori, Roberto Sánchez"
El Comercio,2026-06-29T19:52:48Z,Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta entre Keiko Fujimori y Roberto Sánchez en vivo y conteo oficial de votos,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-segunda-vuelta-elecciones-peru-2026-en-vivo-conteo-onpe-flash-electoral-y-quien-gana-entre-keiko-fujimori-y-roberto-sanchez-hoy-7-de-junio-noticia/,Conoce en esta nota los resultados ONPE al 100% de los comicios generales del 7 de junio en el Perú y el Mundo,"Elecciones 2026, segunda vuelta, ONPE, Keiko Fujimori, Roberto Sánchez"
El Comercio,2026-06-29T19:51:38.389Z,ONPE al 100% de actas contabilizadas: Keiko Fujimori logra 50.135% de votos y es virtual presidenta del Perú ,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-onpe-al-100-keiko-fujimori-es-la-virtual-presidenta-del-peru-al-registrar-50135-de-votos-en-segunda-vuelta-con-roberto-sanchez-noticia/,"La candidata de Fuerza Popular logró 9’223,396 votos válidos, mientras que su contendor de Juntos por el Perú, Roberto Sánchez, alcanzó 9′173,755 votos válidos (49.865%). ","elecciones 2026, segunda vuelta presidencial, ONPE, Keiko Fujimori, Roberto Sánchez, segunda vuelta electoral"
El Comercio,2026-06-29T18:17:56Z,Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Ucayali y conteo oficial de votos en vivo,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-segunda-vuelta-elecciones-peru-2026-conteo-oficial-onpe-en-ucayali-y-flash-electoral-en-vivo-hoy-7-de-junio-keiko-fujimori-roberto-sanchez-noticia/,Conoce en esta nota los resultados ONPE al 100% de los comicios generales del 7 de junio,"Elecciones 2026, segunda vuelta, ONPE, Ucayali, Keiko Fujimori, Roberto Sánchez"
El Comercio,2026-06-28T19:24:53Z,Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Tumbes y conteo oficial de votos en vivo,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-segunda-vuelta-elecciones-peru-2026-conteo-oficial-onpe-en-tumbes-y-flash-electoral-en-vivo-hoy-7-de-junio-keiko-fujimori-roberto-sanchez-noticia/,Conoce en esta nota los resultados ONPE al 100% de los comicios generales del 7 de junio,"Elecciones 2026, segunda vuelta, ONPE, Tumbes, Keiko Fujimori, Roberto Sánchez"
El Comercio,2026-06-28T15:36:50Z,Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Huánuco y conteo oficial de votos en vivo,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-segunda-vuelta-elecciones-peru-2026-conteo-oficial-onpe-en-huanuco-y-flash-electoral-en-vivo-hoy-7-de-junio-keiko-fujimori-roberto-sanchez-noticia/,Conoce en esta nota los resultados ONPE al 100% de los comicios generales del 7 de junio,"Elecciones 2026, segunda vuelta, ONPE, Huánuco, Keiko Fujimori, Roberto Sánchez"
El Comercio,2026-06-28T14:35:50Z,Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Huancavelica y conteo oficial de votos en vivo,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-segunda-vuelta-elecciones-peru-2026-conteo-oficial-onpe-en-huancavelica-y-flash-electoral-en-vivo-hoy-7-de-junio-keiko-fujimori-roberto-sanchez-noticia/,Conoce en esta nota los resultados ONPE al 100% de los comicios generales del 7 de junio,"Elecciones 2026, segunda vuelta, ONPE, Huancavelica, Keiko Fujimori, Roberto Sánchez"
