medio,fecha,titulo,autor,url,resumen,tags
Perú21,2026-07-16 12:26:00,Keiko Fujimori se reúne con presidente de la Conferencia Episcopal Peruana,,https://peru21.pe/politica/keiko-fujimori-se-reune-con-presidente-de-la-conferencia-episcopal-peruana/,,
Perú21,2026-07-16 14:17:00,Partido del Buen Gobierno intentará presidir una de las cámaras del Congreso,,https://peru21.pe/politica/partido-del-buen-gobierno-intentara-presidir-una-de-las-camaras-del-congreso/,,
Perú21,2026-07-16 13:45:00,Poder Ejecutivo designó en puesto clave a funcionario con antecedentes penales,,https://peru21.pe/politica/jose-maria-balcazar-ejecutivo-designo-funcionario-con-antecedentes/,,
Perú21,2026-07-16 14:40:00,Corte Suprema evaluará apelación de Boluarte para suspender los efectos de su vacancia presidencial,,https://peru21.pe/politica/corte-suprema-evaluara-apelacion-de-boluarte-para-suspender-los-efectos-de-su-vacancia-presidencial/,,
Perú21,2026-07-16 18:19:00,"Ministro de Trabajo descarta un indulto a Pedro Castillo: “No está en la agenda, ni siquiera entre los rumores”",,https://peru21.pe/politica/ministro-de-trabajo-descarta-un-indulto-pedro-castillo-no-esta-en-la-agenda-ni-siquiera-entre-los-rumores/,,
Perú21,2026-07-17 13:20:00,Keiko Fujimori plantea una relación más estrecha entre Perú y Europa,,https://peru21.pe/politica/keiko-fujimori-plantea-una-relacion-mas-estrecha-entre-peru-y-europa/,,
Perú21,2026-07-17 12:20:00,SIMA Perú culmina con éxito fase clave para la construcción de submarino,,https://peru21.pe/politica/sima-peru-culmina-con-exito-fase-clave-para-construccion-de-submarino/,,
Perú21,2026-07-17 12:03:00,"Gobierno destina S/11,8 millones al Ejército para fortalecer la lucha contra la delincuencia y el crimen organizado",,https://peru21.pe/politica/gobierno-asigna-s118-millones-al-ejercito-contra-el-crimen/,,
Perú21,2026-07-17 11:32:00,Unión de Gremios rechaza posible indulto o gracia a Pedro Castillo,,https://peru21.pe/politica/union-de-gremios-rechaza-posible-indulto-o-gracia-pedro-castillo/,,
Perú21,2026-07-17 07:05:00,Francisco Calisto Giampietri: “Este gobierno ya debería reaccionar sobre El Niño”,,https://peru21.pe/politica/francisco-calisto-giampietri-habla-de-la-presidenta-rafael-lopez-aliaga-y-el-nino/,,
Perú21,2026-07-17 07:00:00,Acuerdos para las mesas directivas del nuevo Congreso bicameral no se consolidan,,https://peru21.pe/politica/acuerdos-para-las-mesas-directivas-del-nuevo-congreso-bicameral-no-se-consolidan/,,
Perú21,2026-07-17 07:00:00,Estas son las cortitas de hoy viernes 17 de julio de 2026,,https://peru21.pe/politica/estas-son-las-cortitas-de-hoy-viernes-17-de-julio-de-2026/,,
Perú21,2026-07-17 01:03:00,Keiko Fujimori se reunió con alcaldes de Lima Norte,,https://peru21.pe/politica/keiko-fujimori-se-reunio-con-alcaldes-de-lima-norte/,,
Perú21,2026-07-16 11:41:00,"Fujimori tras reunión con Balcázar: ""Nos preocupa la delincuencia y la llegada del Fenómeno de El Niño""",,https://peru21.pe/politica/keiko-fujimori-se-reune-con-jose-balcazar-en-palacio-de-gobierno/,,
Perú21,2026-07-16 09:05:00,¡Escándalo! Policías de escolta presidencial enfrentarán proceso disciplinario por 'escaparse' a discoteca,,https://peru21.pe/politica/escandalo-policias-de-escolta-presidencial-enfrentaran-proceso-disciplinario-por-escaparse-discoteca/,,
Perú21,2026-07-16 07:00:00,Estas son las cortitas de hoy jueves 16 de julio de 2026,,https://peru21.pe/politica/estas-son-las-cortitas-de-hoy-jueves-16-de-julio-de-2026/,,
Perú21,2026-07-16 06:44:00,Fujimori al recibir credenciales: “Cada ministerio tendrá metas concretas”,,https://peru21.pe/politica/fujimori-al-recibir-credenciales-cada-ministerio-tendra-metas-concretas/,,
Perú21,2026-07-16 00:21:00,José María Balcázar hace aclaración acerca de su solicitud de pensión,,https://peru21.pe/politica/jose-maria-balcazar-aclara-pension-sueldo-congresista/,,
Perú21,2026-07-15 22:06:00,"Juez Concepción Carhuancho sobre su suspensión por la JNJ: ""Es inconstitucional e ilegal""",,https://peru21.pe/politica/juez-concepcion-carhuancho-sobre-su-suspension-por-la-jnj/,,
Perú21,2026-07-15 20:50:00,Instalan la Junta Preparatoria del Congreso 2026-2031 y comienza la transición al Parlamento bicameral,,https://peru21.pe/politica/instalan-la-junta-preparatoria-del-congreso-2026-2031-y-comienza-la-transicion-al-parlamento-bicameral/,,
Perú21,2026-07-15 19:33:00,Se inicia el proceso para la instalación del próximo Congreso bicameral,,https://peru21.pe/politica/se-inicia-el-proceso-para-la-instalacion-del-proximo-congreso-bicameral/,,
Perú21,2026-07-15 18:03:00,¿Cuáles son las funciones de la Junta Preparatoria del Congreso que se instala HOY?,,https://peru21.pe/politica/funciones-de-la-junta-preparatoria-del-congreso-que-se-instala-este-miercoles-15/,,
Perú21,2026-07-15 17:34:00,Keiko Fujimori participó en ceremonia por Fiestas Patrias en la MML y destaca homenaje a Julio Velarde,,https://peru21.pe/politica/keiko-fujimori-participo-en-ceremonia-por-fiestas-patrias-en-la-mml-y-destaca-homenaje-julio-velarde/,,
Perú21,2026-07-15 17:03:00,Gobierno declara estado de emergencia en distritos de Pisco,,https://peru21.pe/politica/gobierno-declara-estado-de-emergencia-en-distritos-de-pisco/,,
Perú21,2026-07-15 13:15:00,"Keiko Fujimori recibe credencial como presidenta: ""Les prometo que pondremos el Estado al servicio de la población""",,https://peru21.pe/politica/en-vivo-jne-entrega-hoy-keiko-fujimori-credenciales-como-presidenta-electa/,,
Perú21,2026-07-15 11:40:00,Congreso condecoró a José Jerí pese a serios cuestionamientos,,https://peru21.pe/politica/congreso-condecoro-jose-jeri-pese-serios-cuestionamientos/,,
Perú21,2026-07-15 11:20:00,ASPAN rechazan ley del descanso religioso los sábados y piden al Ejecutivo no promulgarla,,https://peru21.pe/politica/aspan-rechazan-ley-del-descanso-religioso-los-sabados-y-piden-al-ejecutivo-no-promulgarla/,,
Perú21,2026-07-15 07:00:00,ENCUESTA IPSOS: Congreso unicameral llega a su fin con 78% de desaprobación ciudadana,,https://peru21.pe/politica/encuesta-ipsos-congreso-unicameral-llega-su-fin-con-78-de-desaprobacion-ciudadana/,,
